job_position_name,educationaL_requirements,skills_required,matched_score,skills_count,educational_institution_name_count,degree_names_count,passing_years_count,educational_results_count,result_types_count,major_field_of_studies_count,professional_company_names_count,start_dates_count,end_dates_count,related_skils_in_job_count,positions_count,locations_count,extra_curricular_activity_types_count,extra_curricular_organization_names_count,role_positions_count,languages_count,proficiency_levels_count,certification_providers_count,certification_skills_count,issue_dates_count,expiry_dates_count,required_exp_years,min_age_required
Machine Learning (ML) Engineer,M.Sc in Computer Science & Engineering or in any relevant discipline from a reputed University,unknown,85.0,12,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,5,0
Project Coordinator (Civil),•Bachelor of Business Administration (BBA) in Human Resource Management,"Auto CAD 2D 3D
Civil 3D
Civil Construction
Civil Engineering",65.0,12,2,2,2,2,1,2,9,9,9,9,9,9,0,0,0,0,0,1,0,1,1,5,30
Mechanical Engineer,"Bachelor of Science (BSc) in Mechanical Engineering, Diploma in Mechanical","Maintenance  and Troubleshooting
Mechanical",65.0,6,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,2,25
DevOps Engineer,Bachelor/Honors,"Ansible
AWS Cloud
Cloud Platform
DevOps
Dockers and Kubernetes
Java
ReactJS
Terraform",43.3333333,13,3,3,3,3,3,3,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,3,0
Senior iOS Engineer,Bachelor of Science (BSc) in Computer Science,"iOS
iOS App Developer
iOS Application Development
iOS Development
Mobile apps Developer (iOS)
Native IOS
Swift (iOS)
Swift UI",78.33333329999999,9,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,4,0
HR Officer,"•Bachelor of Business Administration (BBA) in Human Resource Management
•BBA/MBA in HRM/Management from any reputed university.",Human Resource Management,81.66666670000001,9,2,2,2,1,1,2,3,3,3,3,3,3,2,2,2,0,0,3,1,3,0,0,18
"Full Stack Developer (Python,React js)",Bachelor/Honors,unknown,85.0,10,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,3,0
"Executive/ Senior Executive- Trade Marketing, Hygiene Products",Master of Business Administration (MBA),"Brand Promotion
Campaign Management
Field Supervision
Merchandising
promotional activities
Trade Marketing",79.33333333333333,63,2,2,2,0,0,2,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,3,0
Management Trainee - Mechanical,Fresh graduates with a Bachelor’s degree in Mechanical Engineering or a related field.,"Computer skill
Good communication skills
Mechanical Engineering
Quick learner and hard working",71.66666666666667,36,1,1,1,1,1,1,5,5,5,5,5,5,0,0,0,2,2,0,0,0,0,0,22
Site Engineer,Bachelor of Science (BSc) in Civil Engineering,"AutoCAD
Communication and negotiation skills
Internet
MS Office",55.00000000000001,29,1,1,0,0,0,0,4,4,4,4,4,1,0,0,0,0,0,2,0,0,0,1,25
Executive/ Sr. Executive -IT,Bachelor of Science (BSc) in Computer Science & Engineering,unknown,81.66666670000001,10,1,1,1,1,1,1,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,3,40
Project Coordinator (Civil),•Bachelor of Business Administration (BBA) in Human Resource Management,"Auto CAD 2D 3D
Civil 3D
Civil Construction
Civil Engineering",65.0,9,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,5,30
"Full Stack Developer (Python,React js)",Bachelor/Honors,unknown,85.0,12,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,3,0
Management Trainee - Mechanical,Fresh graduates with a Bachelor’s degree in Mechanical Engineering or a related field.,"Computer skill
Good communication skills
Mechanical Engineering
Quick learner and hard working",85.0,16,2,2,2,2,2,2,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,22
HR Officer,"•Bachelor of Business Administration (BBA) in Human Resource Management
•BBA/MBA in HRM/Management from any reputed university.",Human Resource Management,75.0,22,1,1,1,1,1,1,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,18
Mechanical Engineer,"Bachelor of Science (BSc) in Mechanical Engineering, Diploma in Mechanical","Maintenance  and Troubleshooting
Mechanical",35.0,11,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,2,25
"System Administrator (Operation & Maintenance of Server, Storage & Service Desk System)",Bachelor/Honors,"Cisco
Linux
Operation & Maintenance of Server",55.00000000000001,11,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,4,0
Senior Software Engineer,B.Sc in Computer Science & Engineering from a reputed university.,unknown,31.6666667,3,1,1,1,1,1,1,2,2,2,2,2,2,3,3,1,0,0,0,1,0,0,1,0
DevOps Engineer,Bachelor/Honors,"Ansible
AWS Cloud
Cloud Platform
DevOps
Dockers and Kubernetes
Java
ReactJS
Terraform",62.66666669999999,16,2,2,2,0,0,2,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,3,0
Mechanical Designer,Bachelor’s degree in Mechanical Engineering from a reputed institute.,"AutoCAD
Solidworks",65.0,13,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,0,0,0,0,0,0,5,24
Executive/ Sr. Executive -IT,Bachelor of Science (BSc) in Computer Science & Engineering,unknown,72.66666670000001,36,11,11,11,0,0,11,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,3,40
Data Engineer,Bachelor of Science (BSc),"Azure
Big Data
Data Analytics
ETL Tools
Power BI
SQL",71.66666670000001,31,2,2,2,2,2,2,4,4,4,0,4,4,0,0,0,0,0,2,0,2,0,5,0
Sr.Officer / Executive - Internal Audit,"Master of Commerce (MCom) in Accounting, Must have CACC certification from any CA firm","Having CACC from reputed CA Firm
Internal Audit and Compliance",85.0,27,5,5,4,3,0,5,6,5,2,6,6,6,0,0,0,3,3,0,0,0,0,2,0
Head of Internal Control & Compliance (ICC) - SEVP/DMD,"Masters, Master of Business Administration (MBA), Master of Business Management (MBM)","AUDIT AND INSPECTION
Banking
Internal Audit",65.0,21,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,15,52
Marketing Officer,Bachelor/Honors,"Corporate Marketing
Facebook Ads Manager
Facebook campaign
Facebook marketing
Google Ads
Google analytics
Market Researc
Marketing
Search Engine Optimization (SEO)",47.6666667,17,2,2,2,0,0,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0
Site Engineer,Bachelor of Science (BSc) in Civil Engineering,"AutoCAD
Communication and negotiation skills
Internet
MS Office",54.6666667,11,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,1,25
"Manager- Human Resource Management (HRM)
","Masters degree in any discipline, Bachelor of Business Administration (BBA)","HRM Report
Human Resource Management
NGO",82.9666667,22,1,1,1,1,1,1,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,5,25
Executive - VAT,BBA in Accounting and Finance,VAT and Tax,85.0,62,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,3,3,0,0,0,0,1,0
Data Science Engineer,Bachelor of Science (BSc) in Computer Science & Engineering,"Business Analysis
Effective communication skills
Java
REST API Design
Soft Skills
Software Development",68.33333329999999,9,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,0,0,0,0,0,0,2,25
Machine Learning (ML) Engineer,M.Sc in Computer Science & Engineering or in any relevant discipline from a reputed University,unknown,81.66666670000001,10,1,1,1,1,1,1,2,2,2,2,2,2,0,0,0,0,0,2,0,0,0,5,0
"Executive/ Senior Executive- Trade Marketing, Hygiene Products",Master of Business Administration (MBA),"Brand Promotion
Campaign Management
Field Supervision
Merchandising
promotional activities
Trade Marketing",71.66666670000001,12,1,1,1,1,1,1,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,3,0
Sr.Officer / Executive - Internal Audit,"Master of Commerce (MCom) in Accounting, Must have CACC certification from any CA firm","Having CACC from reputed CA Firm
Internal Audit and Compliance",68.33333329999999,16,2,2,2,2,1,1,3,3,3,3,3,0,4,4,4,3,3,0,0,0,0,2,0
"Manager- Human Resource Management (HRM)
","Masters degree in any discipline, Bachelor of Business Administration (BBA)","HRM Report
Human Resource Management
NGO",81.66666670000001,13,2,2,2,2,0,2,3,3,3,3,3,3,2,2,2,0,0,0,0,0,0,5,25
Database Administrator (DBA),Bachelor of Science (BSc) in Computer Science,"ASP.NET MVC Strong understanding of database design
Database Administrator (DBA)
Database management
Elasticsearch
MongoDB
MySQL database
NoSQL database
REDIS",75.0,50,0,0,0,0,0,0,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,1,25
Management Trainee - Mechanical,Fresh graduates with a Bachelor’s degree in Mechanical Engineering or a related field.,"Computer skill
Good communication skills
Mechanical Engineering
Quick learner and hard working",55.00000000000001,0,2,2,2,2,2,2,9,9,9,0,9,9,0,0,0,0,0,0,0,0,0,0,22
Network Support Engineer,"Diploma, Bachelor/Honors","CCNA (Cisco Certified Network Associate)
GPON
Hardware & Networking
IIG
ISP
IT Enabled services
OLT and ONU",65.0,16,2,2,2,0,0,2,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,3,25
Executive/ Sr. Executive -IT,Bachelor of Science (BSc) in Computer Science & Engineering,unknown,65.0,14,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,3,40
"Full Stack Developer (Python,React js)",Bachelor/Honors,unknown,65.0,13,1,1,1,1,1,1,2,2,1,2,2,2,0,0,0,0,0,0,0,0,0,3,0
Site Engineer,Bachelor of Science (BSc) in Civil Engineering,"AutoCAD
Communication and negotiation skills
Internet
MS Office",65.0,18,5,5,5,5,5,5,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,1,25
Machine Learning (ML) Engineer,M.Sc in Computer Science & Engineering or in any relevant discipline from a reputed University,unknown,68.33333329999999,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,5,0
Executive - VAT,BBA in Accounting and Finance,VAT and Tax,45.0,12,2,2,2,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0
Machine Learning (ML) Engineer,M.Sc in Computer Science & Engineering or in any relevant discipline from a reputed University,unknown,75.0,4,1,1,0,1,0,1,5,5,5,0,5,5,0,0,0,0,0,0,0,0,0,5,0
Asst. Manager/ Manger (Administrative),Bachelor/Honors,"•Administration
•Health Safety and Environment
•Safety and Security Management",44.0,47,2,2,2,2,2,2,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,5,28
Project Coordinator (Civil),•Bachelor of Business Administration (BBA) in Human Resource Management,"Auto CAD 2D 3D
Civil 3D
Civil Construction
Civil Engineering",65.0,13,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,5,30
"Executive/ Senior Executive- Trade Marketing, Hygiene Products",Master of Business Administration (MBA),"Brand Promotion
Campaign Management
Field Supervision
Merchandising
promotional activities
Trade Marketing",81.66666670000001,18,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,3,0
Mechanical Designer,Bachelor’s degree in Mechanical Engineering from a reputed institute.,"AutoCAD
Solidworks",68.33333329999999,35,2,2,2,2,2,2,3,3,3,0,3,3,0,0,0,0,0,0,0,0,0,5,24
Data Engineer,Bachelor of Science (BSc),"Azure
Big Data
Data Analytics
ETL Tools
Power BI
SQL",48.0,10,1,1,1,0,0,1,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,5,0
Project Coordinator (Civil),•Bachelor of Business Administration (BBA) in Human Resource Management,"Auto CAD 2D 3D
Civil 3D
Civil Construction
Civil Engineering",65.0,16,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,2,0,2,0,5,30
Database Administrator (DBA),Bachelor of Science (BSc) in Computer Science,"ASP.NET MVC Strong understanding of database design
Database Administrator (DBA)
Database management
Elasticsearch
MongoDB
MySQL database
NoSQL database
REDIS",78.33333329999999,13,1,1,1,0,0,0,6,6,6,0,6,6,0,0,0,0,0,0,0,0,0,1,25
Asst. Manager/ Manger (Administrative),Bachelor/Honors,"•Administration
•Health Safety and Environment
•Safety and Security Management",81.66666666666667,26,2,2,0,0,0,2,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,5,28
Intern (Generative AI Engineering - 2D/3D Image Generation),Bachelor of Science (BSc),unknown,88.3333333,6,1,1,1,1,1,1,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,20
Network Support Engineer,"Diploma, Bachelor/Honors","CCNA (Cisco Certified Network Associate)
GPON
Hardware & Networking
IIG
ISP
IT Enabled services
OLT and ONU",77.0,32,2,2,2,2,0,2,3,3,3,3,3,0,1,1,1,0,0,0,0,0,0,3,25
Civil Engineer,B.Sc in Civil Engineering from a reputed university.,"AutoCAD
ETABS
Microsoft Office Suite
MS Project",35.0,10,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,5,30
Executive - VAT,BBA in Accounting and Finance,VAT and Tax,68.33333329999999,11,1,1,1,1,1,1,3,3,3,0,3,3,0,0,0,0,0,0,0,0,0,1,0
Marketing Officer,Bachelor/Honors,"Corporate Marketing
Facebook Ads Manager
Facebook campaign
Facebook marketing
Google Ads
Google analytics
Market Researc
Marketing
Search Engine Optimization (SEO)",62.0,9,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0
Machine Learning (ML) Engineer,M.Sc in Computer Science & Engineering or in any relevant discipline from a reputed University,unknown,85.0,47,2,2,2,2,0,2,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,5,0
Network Support Engineer,"Diploma, Bachelor/Honors","CCNA (Cisco Certified Network Associate)
GPON
Hardware & Networking
IIG
ISP
IT Enabled services
OLT and ONU",85.0,46,3,3,3,1,1,3,3,3,3,2,3,3,0,0,0,0,0,0,0,0,0,3,25
Site Engineer,Bachelor of Science (BSc) in Civil Engineering,"AutoCAD
Communication and negotiation skills
Internet
MS Office",65.0,15,2,2,2,2,2,2,3,3,3,3,3,3,0,0,0,0,0,1,0,1,0,1,25
"Manager- Human Resource Management (HRM)
","Masters degree in any discipline, Bachelor of Business Administration (BBA)","HRM Report
Human Resource Management
NGO",55.00000000000001,16,2,2,2,2,1,1,3,3,3,3,3,0,4,4,4,3,3,0,0,0,0,5,25
Head of Internal Control & Compliance (ICC) - SEVP/DMD,"Masters, Master of Business Administration (MBA), Master of Business Management (MBM)","AUDIT AND INSPECTION
Banking
Internal Audit",85.0,45,2,2,2,2,2,2,6,6,6,6,6,6,0,0,0,0,0,0,0,0,0,15,52
Senior Software Engineer,B.Sc in Computer Science & Engineering from a reputed university.,unknown,81.66666666666667,36,3,3,3,1,1,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,1,0
AI Engineer,"Bachelors or Masters degree in Computer Science, Engineering, or a related field.","Python
R or Java
TensorFlow
PyTorch
Scikit-learn.",75.0,12,2,2,2,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Data Engineer,Bachelor of Science (BSc),"Azure
Big Data
Data Analytics
ETL Tools
Power BI
SQL",81.66666666666667,39,2,2,2,2,2,2,3,3,3,3,3,3,0,0,0,2,2,0,0,0,0,5,0
Machine Learning (ML) Engineer,M.Sc in Computer Science & Engineering or in any relevant discipline from a reputed University,unknown,78.33333329999999,6,1,1,1,1,0,1,2,2,2,2,2,2,1,1,1,1,1,0,0,0,0,5,0
Head of Internal Control & Compliance (ICC) - SEVP/DMD,"Masters, Master of Business Administration (MBA), Master of Business Management (MBM)","AUDIT AND INSPECTION
Banking
Internal Audit",34.6666667,14,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,15,52
Civil Engineer,B.Sc in Civil Engineering from a reputed university.,"AutoCAD
ETABS
Microsoft Office Suite
MS Project",16.6666667,6,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,5,30
"System Administrator (Operation & Maintenance of Server, Storage & Service Desk System)",Bachelor/Honors,"Cisco
Linux
Operation & Maintenance of Server",78.33333333333333,36,1,1,1,1,1,1,5,5,5,5,5,5,0,0,0,2,2,0,0,0,0,4,0
Project Coordinator (Civil),•Bachelor of Business Administration (BBA) in Human Resource Management,"Auto CAD 2D 3D
Civil 3D
Civil Construction
Civil Engineering",71.66666666666667,26,1,1,1,1,1,1,4,4,3,4,4,4,0,0,0,0,0,0,0,0,0,5,30
Project Coordinator (Civil),•Bachelor of Business Administration (BBA) in Human Resource Management,"Auto CAD 2D 3D
Civil 3D
Civil Construction
Civil Engineering",65.0,11,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,5,30
Civil Engineer,B.Sc in Civil Engineering from a reputed university.,"AutoCAD
ETABS
Microsoft Office Suite
MS Project",28.333333300000003,17,2,2,2,0,0,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,5,30
Intern (Generative AI Engineering - 2D/3D Image Generation),Bachelor of Science (BSc),unknown,85.0,10,1,1,1,1,1,1,2,2,2,2,2,2,0,0,0,0,0,2,0,0,0,0,20
"Manager- Human Resource Management (HRM)
","Masters degree in any discipline, Bachelor of Business Administration (BBA)","HRM Report
Human Resource Management
NGO",78.33333329999999,7,2,2,2,2,2,2,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,5,25
Business Development Executive,Bachelor/Honors,"Fast typing skill
IELTSInternet browsing & online work ability.",65.0,144,3,3,3,3,3,3,6,6,6,6,6,6,0,0,0,0,0,0,0,0,0,1,22
"Full Stack Developer (Python,React js)",Bachelor/Honors,unknown,88.33333333333333,83,1,1,1,1,1,1,3,3,3,3,3,3,0,0,0,0,0,4,4,4,0,3,0
Data Engineer,Bachelor of Science (BSc),"Azure
Big Data
Data Analytics
ETL Tools
Power BI
SQL",65.0,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,5,0
Civil Engineer,B.Sc in Civil Engineering from a reputed university.,"AutoCAD
ETABS
Microsoft Office Suite
MS Project",65.0,23,2,2,2,2,2,2,2,2,2,0,2,2,0,0,0,0,0,0,0,0,0,5,30
Intern (Generative AI Engineering - 2D/3D Image Generation),Bachelor of Science (BSc),unknown,85.0,10,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,20
Senior iOS Engineer,Bachelor of Science (BSc) in Computer Science,"iOS
iOS App Developer
iOS Application Development
iOS Development
Mobile apps Developer (iOS)
Native IOS
Swift (iOS)
Swift UI",71.66666670000001,12,2,2,2,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,4,0
Senior Software Engineer,B.Sc in Computer Science & Engineering from a reputed university.,unknown,65.0,6,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0
Management Trainee - Mechanical,Fresh graduates with a Bachelor’s degree in Mechanical Engineering or a related field.,"Computer skill
Good communication skills
Mechanical Engineering
Quick learner and hard working",54.99999999999999,46,3,2,2,0,0,3,6,6,5,6,6,6,0,0,0,0,0,0,0,0,0,0,22
Head of Internal Control & Compliance (ICC) - SEVP/DMD,"Masters, Master of Business Administration (MBA), Master of Business Management (MBM)","AUDIT AND INSPECTION
Banking
Internal Audit",75.0,12,3,3,3,3,3,3,5,5,5,5,5,5,1,1,1,0,0,0,0,0,0,15,52
"Executive/ Senior Executive- Trade Marketing, Hygiene Products",Master of Business Administration (MBA),"Brand Promotion
Campaign Management
Field Supervision
Merchandising
promotional activities
Trade Marketing",79.33333329999999,17,2,2,2,0,0,2,3,3,3,0,3,3,0,0,0,0,0,6,3,0,1,3,0
Network Support Engineer,"Diploma, Bachelor/Honors","CCNA (Cisco Certified Network Associate)
GPON
Hardware & Networking
IIG
ISP
IT Enabled services
OLT and ONU",78.33333329999999,0,4,4,4,4,4,4,5,5,5,0,5,5,0,0,0,0,0,0,0,0,0,3,25
Business Development Executive,Bachelor/Honors,"Fast typing skill
IELTSInternet browsing & online work ability.",51.66666669999999,10,1,1,1,1,1,1,6,6,6,0,6,6,0,0,0,0,0,0,0,0,0,1,22
Marketing Officer,Bachelor/Honors,"Corporate Marketing
Facebook Ads Manager
Facebook campaign
Facebook marketing
Google Ads
Google analytics
Market Researc
Marketing
Search Engine Optimization (SEO)",50.0,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0
Senior iOS Engineer,Bachelor of Science (BSc) in Computer Science,"iOS
iOS App Developer
iOS Application Development
iOS Development
Mobile apps Developer (iOS)
Native IOS
Swift (iOS)
Swift UI",60.0,15,2,1,2,0,0,1,3,3,3,2,3,2,0,0,0,0,0,0,0,0,0,4,0
Project Coordinator (Civil),•Bachelor of Business Administration (BBA) in Human Resource Management,"Auto CAD 2D 3D
Civil 3D
Civil Construction
Civil Engineering",65.0,10,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,0,0,0,0,0,0,5,30
"Full Stack Developer (Python,React js)",Bachelor/Honors,unknown,87.3333333,32,1,1,1,1,1,1,3,3,3,3,3,3,0,0,0,0,0,2,0,0,0,3,0
Asst. Manager/ Manger (Administrative),Bachelor/Honors,"•Administration
•Health Safety and Environment
•Safety and Security Management",71.66666670000001,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,5,28
Civil Engineer,B.Sc in Civil Engineering from a reputed university.,"AutoCAD
ETABS
Microsoft Office Suite
MS Project",58.3333333,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,5,30
AI Engineer,"Bachelors or Masters degree in Computer Science, Engineering, or a related field.","Python
R or Java
TensorFlow
PyTorch
Scikit-learn.",75.0,4,1,1,0,1,0,1,5,5,5,0,5,5,0,0,0,0,0,0,0,0,0,0,0
Senior Software Engineer,B.Sc in Computer Science & Engineering from a reputed university.,unknown,68.33333329999999,14,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,1,0
Data Science Engineer,Bachelor of Science (BSc) in Computer Science & Engineering,"Business Analysis
Effective communication skills
Java
REST API Design
Soft Skills
Software Development",65.0,33,2,2,2,2,0,2,3,3,3,3,3,3,0,0,0,4,4,0,0,0,0,2,25
Mechanical Engineer,"Bachelor of Science (BSc) in Mechanical Engineering, Diploma in Mechanical","Maintenance  and Troubleshooting
Mechanical",68.33333329999999,20,1,1,0,1,1,1,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,2,25
Site Engineer,Bachelor of Science (BSc) in Civil Engineering,"AutoCAD
Communication and negotiation skills
Internet
MS Office",51.66666669999999,7,1,1,1,0,0,1,2,2,2,2,2,2,1,1,1,0,0,0,0,0,0,1,25
Intern (Generative AI Engineering - 2D/3D Image Generation),Bachelor of Science (BSc),unknown,78.33333329999999,113,3,3,3,3,0,3,3,3,3,3,3,3,1,1,1,0,0,0,0,0,0,0,20
Civil Engineer,B.Sc in Civil Engineering from a reputed university.,"AutoCAD
ETABS
Microsoft Office Suite
MS Project",28.000000000000004,17,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,5,30
Project Coordinator (Civil),•Bachelor of Business Administration (BBA) in Human Resource Management,"Auto CAD 2D 3D
Civil 3D
Civil Construction
Civil Engineering",65.0,6,2,2,2,2,2,2,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,5,30
Sr.Officer / Executive - Internal Audit,"Master of Commerce (MCom) in Accounting, Must have CACC certification from any CA firm","Having CACC from reputed CA Firm
Internal Audit and Compliance",75.0,29,1,1,0,0,0,0,4,4,4,4,4,1,0,0,0,0,0,2,0,0,0,2,0
Site Engineer,Bachelor of Science (BSc) in Civil Engineering,"AutoCAD
Communication and negotiation skills
Internet
MS Office",71.66666670000001,16,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,2,0,2,0,1,25
Project Coordinator (Civil),•Bachelor of Business Administration (BBA) in Human Resource Management,"Auto CAD 2D 3D
Civil 3D
Civil Construction
Civil Engineering",73.66666666666667,13,1,1,1,0,0,1,3,3,3,0,3,3,1,1,1,0,0,1,0,1,0,5,30
Senior iOS Engineer,Bachelor of Science (BSc) in Computer Science,"iOS
iOS App Developer
iOS Application Development
iOS Development
Mobile apps Developer (iOS)
Native IOS
Swift (iOS)
Swift UI",85.0,12,3,3,3,3,3,3,5,5,5,5,5,5,1,1,1,0,0,0,0,0,0,4,0
Mechanical Designer,Bachelor’s degree in Mechanical Engineering from a reputed institute.,"AutoCAD
Solidworks",35.0,16,2,2,2,2,1,1,3,3,3,3,3,0,4,4,4,3,3,0,0,0,0,5,24
AI Engineer,"Bachelors or Masters degree in Computer Science, Engineering, or a related field.","Python
R or Java
TensorFlow
PyTorch
Scikit-learn.",78.0,32,2,2,2,2,0,2,3,3,3,3,3,0,1,1,1,0,0,0,0,0,0,0,0
Sr.Officer / Executive - Internal Audit,"Master of Commerce (MCom) in Accounting, Must have CACC certification from any CA firm","Having CACC from reputed CA Firm
Internal Audit and Compliance",88.33333333333333,13,1,1,1,1,0,1,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,2,0
"Executive/ Senior Executive- Trade Marketing, Hygiene Products",Master of Business Administration (MBA),"Brand Promotion
Campaign Management
Field Supervision
Merchandising
promotional activities
Trade Marketing",69.33333329999999,41,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,3,0
Mechanical Engineer,"Bachelor of Science (BSc) in Mechanical Engineering, Diploma in Mechanical","Maintenance  and Troubleshooting
Mechanical",51.66666666666667,40,1,1,1,1,1,1,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,2,25
Marketing Officer,Bachelor/Honors,"Corporate Marketing
Facebook Ads Manager
Facebook campaign
Facebook marketing
Google Ads
Google analytics
Market Researc
Marketing
Search Engine Optimization (SEO)",65.0,7,1,1,1,1,1,1,2,2,2,0,2,2,1,1,1,0,0,0,0,0,0,1,0
Database Administrator (DBA),Bachelor of Science (BSc) in Computer Science,"ASP.NET MVC Strong understanding of database design
Database Administrator (DBA)
Database management
Elasticsearch
MongoDB
MySQL database
NoSQL database
REDIS",72.66666670000001,45,2,2,2,2,2,2,3,3,1,3,3,3,0,0,0,2,2,0,0,0,0,1,25
"Full Stack Developer (Python,React js)",Bachelor/Honors,unknown,81.66666670000001,70,2,2,2,0,0,2,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,3,0
Intern (Generative AI Engineering - 2D/3D Image Generation),Bachelor of Science (BSc),unknown,82.66666670000001,8,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,20
Machine Learning (ML) Engineer,M.Sc in Computer Science & Engineering or in any relevant discipline from a reputed University,unknown,85.0,48,2,2,0,0,0,0,6,6,5,6,6,6,0,0,0,0,0,0,0,0,0,5,0
Network Support Engineer,"Diploma, Bachelor/Honors","CCNA (Cisco Certified Network Associate)
GPON
Hardware & Networking
IIG
ISP
IT Enabled services
OLT and ONU",85.0,10,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,1,0,1,0,3,25
"Manager- Human Resource Management (HRM)
","Masters degree in any discipline, Bachelor of Business Administration (BBA)","HRM Report
Human Resource Management
NGO",85.0,13,1,1,1,0,0,0,6,6,6,0,6,6,0,0,0,0,0,0,0,0,0,5,25
Senior Software Engineer,B.Sc in Computer Science & Engineering from a reputed university.,unknown,58.333333333333336,52,1,1,1,1,1,1,3,3,3,3,3,3,1,1,1,2,2,0,0,0,0,1,0
"Manager- Human Resource Management (HRM)
","Masters degree in any discipline, Bachelor of Business Administration (BBA)","HRM Report
Human Resource Management
NGO",81.66666670000001,17,2,2,2,0,0,2,3,3,3,0,3,3,0,0,0,0,0,6,3,0,1,5,25
